movie_name,is_adult,year_of_release,genres,actor_1,actor_2,actor_3,imdb_rating,comb
The Shaukeens,0,2014,comedy,akshay kumar,lisa haydon,anupam kher,5.0,The Shaukeens comedy akshay kumar lisa haydon anupam kher
ROAR Tigers of the Sundarbans,0,2014,action adventure sci-fi,aadil chahal,ahran chaudhary,pranay dixit,5.7,ROAR Tigers of the Sundarbans action adventure sci-fi aadil chahal ahran chaudhary pranay dixit
A Decent Arrangement,0,2011,comedy drama,shabana azmi,diksha basu,adhir bhat,5.7,A Decent Arrangement comedy drama shabana azmi diksha basu adhir bhat
Gollu aur Pappu,0,2014,comedy,dimple kapadia,deepak tijori,kunaal roy kapur,4.5,Gollu aur Pappu comedy dimple kapadia deepak tijori kunaal roy kapur
Titoo MBA,0,2014,comedy romance,nishant dahiya,pragya jaiswal,nandini singh,4.8,Titoo MBA comedy romance nishant dahiya pragya jaiswal nandini singh
Kill Dil,0,2014,action drama romance,ranveer singh,ali zafar,parineeti chopra,4.3,Kill Dil action drama romance ranveer singh ali zafar parineeti chopra
Finger,0,2014,crime drama thriller,emraan hashmi,kangana ranaut,sanjay dutt,5.7,Finger crime drama thriller emraan hashmi kangana ranaut sanjay dutt
Happy Ending,0,2014,comedy romance,saif ali khan,ileana d'cruz,kalki koechlin,5.4,Happy Ending comedy romance saif ali khan ileana d'cruz kalki koechlin
Zed Plus,0,2014,comedy,vinod acharya,adil hussain,ravi jhankal,6.5,Zed Plus comedy vinod acharya adil hussain ravi jhankal
Zid,0,2014,crime thriller,mannara chopra,karanvir sharma,shradha das,4.4,Zid crime thriller mannara chopra karanvir sharma shradha das
Action Jackson,0,2014,action thriller,prabhas,shahid kapoor,ajay devgn,3.2,Action Jackson action thriller prabhas shahid kapoor ajay devgn
Bhopal A Prayer for Rain,0,2014,drama,mischa barton,martin sheen,kal penn,7.2,Bhopal A Prayer for Rain drama mischa barton martin sheen kal penn
Mumbai Delhi Mumbai,0,2014,comedy romance,shiv panditt,piaa bajpai,,5.8,Mumbai Delhi Mumbai comedy romance shiv panditt piaa bajpai 
Badlapur Boys,0,2014,drama,annu kapoor,anupam maanav,saranya mohan,4.7,Badlapur Boys drama annu kapoor anupam maanav saranya mohan
Main Aur Mr. Riight,0,2014,comedy romance,barun sobti,shenaz treasury,kavi shastri,5.2,Main Aur Mr. Riight comedy romance barun sobti shenaz treasury kavi shastri
Ugly,0,2013,crime drama mystery,rahul bhat,ronit roy,tejaswini kolhapure,8.1,Ugly crime drama mystery rahul bhat ronit roy tejaswini kolhapure
PK,0,2014,comedy drama fantasy,aamir khan,anushka sharma,saurabh shukla,8.1,PK comedy drama fantasy aamir khan anushka sharma saurabh shukla
Dehraadun Diary,0,2013,thriller,adhyayan suman,rati agnihotri,,5.9,Dehraadun Diary thriller adhyayan suman rati agnihotri 
Matru ki Bijlee ka Mandola,0,2013,comedy drama,imran khan,anushka sharma,pankaj kapur,5.6,Matru ki Bijlee ka Mandola comedy drama imran khan anushka sharma pankaj kapur
Sulemani Keeda,0,2014,comedy romance,naveen kasturia,mayank tewari,aditi vasudev,7.2,Sulemani Keeda comedy romance naveen kasturia mayank tewari aditi vasudev
Inkaar,0,2013,drama romance thriller,arjun rampal,chitrangda singh,vipin sharma,6.1,Inkaar drama romance thriller arjun rampal chitrangda singh vipin sharma
Gangoobai,0,2013,drama family,sarita joshi,purab kohli,mita vasisht,7.5,Gangoobai drama family sarita joshi purab kohli mita vasisht
Akaash Vani,0,2013,drama romance,kartik aaryan,nushrat bharucha,sunny singh nijjar,6.2,Akaash Vani drama romance kartik aaryan nushrat bharucha sunny singh nijjar
Main Krishna Hoon,0,2013,animation family musical,juhi chawla,paresh ganatra,namit shah,5.5,Main Krishna Hoon animation family musical juhi chawla paresh ganatra namit shah
Race 2,0,2013,action crime thriller,saif ali khan,john abraham,deepika padukone,5.3,Race 2 action crime thriller saif ali khan john abraham deepika padukone
Bandook,0,2013,crime thriller,manisha kelkar,arshad khan,ashish kotwal,6.1,Bandook crime thriller manisha kelkar arshad khan ashish kotwal
Listen... Amaya,0,2013,drama,farooq shaikh,deepti naval,swara bhaskar,6.8,Listen... Amaya drama farooq shaikh deepti naval swara bhaskar
Special 26,0,2013,crime drama thriller,akshay kumar,anupam kher,manoj bajpayee,8.0,Special 26 crime drama thriller akshay kumar anupam kher manoj bajpayee
Murder 3,0,2013,drama mystery thriller,randeep hooda,aditi rao hydari,,4.9,Murder 3 drama mystery thriller randeep hooda aditi rao hydari 
Zila Ghaziabad,0,2013,action crime thriller,vivek oberoi,sanjay dutt,arshad warsi,3.5,Zila Ghaziabad action crime thriller vivek oberoi sanjay dutt arshad warsi
Kai po che!,0,2013,drama sport,rajkummar rao,amit sadh,sushant singh rajput,7.6,Kai po che! drama sport rajkummar rao amit sadh sushant singh rajput
Bloody Isshq,0,2013,drama romance,akash,shilpa anand,karan veer mehra,7.8,Bloody Isshq drama romance akash shilpa anand karan veer mehra
Saare Jahaan Se Mehnga...,0,2013,comedy drama,vishwa mohan badola,ranjan chhabra,zakir hussain,7.1,Saare Jahaan Se Mehnga... comedy drama vishwa mohan badola ranjan chhabra zakir hussain
3G - A Killer Connection,0,2013,horror sci-fi thriller,neil nitin mukesh,sonal chauhan,mrinalini sharma,3.6,3G - A Killer Connection horror sci-fi thriller neil nitin mukesh sonal chauhan mrinalini sharma
Mere Dad Ki Maruti,0,2013,comedy drama romance,saqib saleem,rhea chakraborty,ram kapoor,6.4,Mere Dad Ki Maruti comedy drama romance saqib saleem rhea chakraborty ram kapoor
Jolly LLB,0,2013,comedy drama,arshad warsi,amrita rao,boman irani,7.5,Jolly LLB comedy drama arshad warsi amrita rao boman irani
Saheb Biwi Aur Gangster Returns,0,2013,action crime drama,jimmy sheirgill,mahie gill,irrfan khan,6.8,Saheb Biwi Aur Gangster Returns action crime drama jimmy sheirgill mahie gill irrfan khan
Mai,0,2013,drama family,asha bhosle,kshitee jog,shivani joshi,6.8,Mai drama family asha bhosle kshitee jog shivani joshi
Vishwaroopam,0,2013,action thriller,kamal haasan,rahul bose,shekhar kapur,8.2,Vishwaroopam action thriller kamal haasan rahul bose shekhar kapur
Rangrezz,0,2013,action drama,jackky bhagnani,priya anand,rajpal yadav,5.1,Rangrezz action drama jackky bhagnani priya anand rajpal yadav
Aashiqui 2,0,2013,drama music musical,aditya roy kapoor,shraddha kapoor,shaad randhawa,7.0,Aashiqui 2 drama music musical aditya roy kapoor shraddha kapoor shaad randhawa
Ek Thi Daayan,0,2013,horror romance thriller,emraan hashmi,konkona sen sharma,kalki koechlin,5.7,Ek Thi Daayan horror romance thriller emraan hashmi konkona sen sharma kalki koechlin
Himmatwala,0,2013,action comedy,ajay devgn,tamannaah bhatia,paresh rawal,1.7,Himmatwala action comedy ajay devgn tamannaah bhatia paresh rawal
Nautanki Saala!,0,2013,comedy,ayushmann khurrana,kunaal roy kapur,pooja salvi,5.8,Nautanki Saala! comedy ayushmann khurrana kunaal roy kapur pooja salvi
Jayantabhai Ki Luv Story,0,2013,action comedy romance,vivek oberoi,neha sharma,rahul singh,5.3,Jayantabhai Ki Luv Story action comedy romance vivek oberoi neha sharma rahul singh
Commando,0,2013,action thriller,vidyut jammwal,hsieh chang hai,nelson liao sheng hua,6.1,Commando action thriller vidyut jammwal hsieh chang hai nelson liao sheng hua
Bombay Talkies,0,2013,drama,rani mukerji,randeep hooda,saqib saleem,6.7,Bombay Talkies drama rani mukerji randeep hooda saqib saleem
Go Goa Gone,0,2013,action adventure comedy,saif ali khan,kunal khemu,vir das,6.6,Go Goa Gone action adventure comedy saif ali khan kunal khemu vir das
Gippi,0,2013,comedy drama,riya vij,taaha shah badusha,,5.6,Gippi comedy drama riya vij taaha shah badusha 
Aurangzeb,0,2013,action drama thriller,arjun kapoor,prithviraj sukumaran,jackie shroff,6.5,Aurangzeb action drama thriller arjun kapoor prithviraj sukumaran jackie shroff
Ishkq in Paris,0,2013,comedy romance,preity zinta,isabelle adjani,gaurav chanana,3.8,Ishkq in Paris comedy romance preity zinta isabelle adjani gaurav chanana
Zindagi 50 50,0,2013,comedy drama,veena malik,riya sen,rajan verma,2.7,Zindagi 50 50 comedy drama veena malik riya sen rajan verma
Yeh Jawaani Hai Deewani,0,2013,comedy drama musical,ranbir kapoor,deepika padukone,aditya roy kapoor,7.1,Yeh Jawaani Hai Deewani comedy drama musical ranbir kapoor deepika padukone aditya roy kapoor
Fukrey,0,2013,comedy drama romance,pulkit samrat,varun sharma,ali fazal,6.9,Fukrey comedy drama romance pulkit samrat varun sharma ali fazal
Chhota Bheem and the Throne of Bali,0,2013,animation,rupa bhimani,vivaan bhimani,,6.8,Chhota Bheem and the Throne of Bali animation rupa bhimani vivaan bhimani 
Raanjhanaa,0,2013,drama romance,dhanush,sonam kapoor,mohammed zeeshan ayyub,7.6,Raanjhanaa drama romance dhanush sonam kapoor mohammed zeeshan ayyub
Ankur Arora Murder Case,0,2013,drama thriller,kay kay menon,visshesh tiwari,tisca chopra,6.5,Ankur Arora Murder Case drama thriller kay kay menon visshesh tiwari tisca chopra
Shortcut Romeo,0,2013,action crime romance,neil nitin mukesh,ameesha patel,puja gupta,2.4,Shortcut Romeo action crime romance neil nitin mukesh ameesha patel puja gupta
Ghanchakkar,0,2013,comedy crime thriller,vidya balan,emraan hashmi,amar kaushik,5.8,Ghanchakkar comedy crime thriller vidya balan emraan hashmi amar kaushik
Hum Hai Raahi CAR Ke,0,2013,comedy romance,anupam kher,sanjay dutt,juhi chawla,3.0,Hum Hai Raahi CAR Ke comedy romance anupam kher sanjay dutt juhi chawla
Policegiri,0,2013,action comedy,sanjay dutt,prachi desai,prakash raj,4.0,Policegiri action comedy sanjay dutt prachi desai prakash raj
Bhaag Milkha Bhaag,0,2013,biography drama sport,farhan akhtar,sonam kapoor,pavan malhotra,8.2,Bhaag Milkha Bhaag biography drama sport farhan akhtar sonam kapoor pavan malhotra
Sixteen,0,2013,drama romance thriller,wamiqa gabbi,izabelle leite,mehak manwani,6.3,Sixteen drama romance thriller wamiqa gabbi izabelle leite mehak manwani
B.A. Pass,0,2012,crime drama,shadab kamal,shilpa shukla,,6.4,B.A. Pass crime drama shadab kamal shilpa shukla 
Enemmy,0,2013,action crime drama,sunil shetty,kay kay menon,johnny lever,5.1,Enemmy action crime drama sunil shetty kay kay menon johnny lever
Issaq,0,2013,drama romance,prateik,amyra dastur,ravi kishan,4.4,Issaq drama romance prateik amyra dastur ravi kishan
Bajatey Raho,0,2013,comedy drama thriller,tusshar kapoor,vinay pathak,ranvir shorey,5.3,Bajatey Raho comedy drama thriller tusshar kapoor vinay pathak ranvir shorey
Luv U Soniyo,0,2012,comedy romance,tanuj virwani,neha hinge,bunty grewal,5.5,Luv U Soniyo comedy romance tanuj virwani neha hinge bunty grewal
Nasha,0,2013,drama thriller,poonam pandey,shivam patil,vishal bhonsle,3.2,Nasha drama thriller poonam pandey shivam patil vishal bhonsle
Chor Chor Super Chor,0,2013,comedy drama thriller,deepak dobriyal,priya bhatija,anshul kataria,6.7,Chor Chor Super Chor comedy drama thriller deepak dobriyal priya bhatija anshul kataria
Calapor,0,2013,drama,hemant gopal,,unknown,5.2,Calapor drama hemant gopal  unknown
Love in Bombay,0,1974,\n,joy mukherjee,waheeda rehman,,6.2,Love in Bombay \n joy mukherjee waheeda rehman 
D-Day,0,2013,action thriller,rishi kapoor,irrfan khan,arjun rampal,7.2,D-Day action thriller rishi kapoor irrfan khan arjun rampal
Siddharth,0,2013,drama,rajesh tailang,tannishtha chatterjee,anurag arora,7.3,Siddharth drama rajesh tailang tannishtha chatterjee anurag arora
Once Upon a Time in Mumbai Dobaara!,0,2013,action crime drama,akshay kumar,imran khan,sonakshi sinha,4.6,Once Upon a Time in Mumbai Dobaara! action crime drama akshay kumar imran khan sonakshi sinha
Madras Cafe,0,2013,action drama thriller,john abraham,nargis fakhri,raashi khanna,7.7,Madras Cafe action drama thriller john abraham nargis fakhri raashi khanna
Satyagraha,0,2013,drama,amitabh bachchan,kareena kapoor,ajay devgn,5.9,Satyagraha drama amitabh bachchan kareena kapoor ajay devgn
Shuddh Desi Romance,0,2013,drama romance,sushant singh rajput,parineeti chopra,vaani kapoor,5.7,Shuddh Desi Romance drama romance sushant singh rajput parineeti chopra vaani kapoor
Ramaiya Vastavaiya,0,2013,action drama romance,shruti haasan,girish taurani,randhir kapoor,5.6,Ramaiya Vastavaiya action drama romance shruti haasan girish taurani randhir kapoor
Chennai Express,0,2013,action comedy,deepika padukone,shah rukh khan,sathyaraj,6.0,Chennai Express action comedy deepika padukone shah rukh khan sathyaraj
Grand Masti,0,2013,comedy drama romance,vivek oberoi,riteish deshmukh,aftab shivdasani,4.3,Grand Masti comedy drama romance vivek oberoi riteish deshmukh aftab shivdasani
John Day,0,2013,drama,naseeruddin shah,randeep hooda,elena kazan,5.7,John Day drama naseeruddin shah randeep hooda elena kazan
Horror Story,0,2013,horror,karan kundrra,nishant malkani,hassan zaidi,4.3,Horror Story horror karan kundrra nishant malkani hassan zaidi
Phata Poster Nikhla Hero,0,2013,action comedy,shahid kapoor,ileana d'cruz,padmini kolhapure,4.8,Phata Poster Nikhla Hero action comedy shahid kapoor ileana d'cruz padmini kolhapure
Ship of Theseus,0,2012,drama,aida elkashef,yogesh shah,faraz khan,8.0,Ship of Theseus drama aida elkashef yogesh shah faraz khan
The Lunchbox,0,2013,drama romance,irrfan khan,nimrat kaur,nawazuddin siddiqui,7.8,The Lunchbox drama romance irrfan khan nimrat kaur nawazuddin siddiqui
Baat Bann Gayi,0,2013,comedy romance,anisa butt,ali fazal,gulshan grover,5.4,Baat Bann Gayi comedy romance anisa butt ali fazal gulshan grover
Boss,0,2013,action,akshay kumar,shiv panditt,mithun chakraborty,5.1,Boss action akshay kumar shiv panditt mithun chakraborty
Shahid,0,2012,biography crime drama,rajkummar rao,mohammed zeeshan ayyub,baljinder kaur,8.3,Shahid biography crime drama rajkummar rao mohammed zeeshan ayyub baljinder kaur
Mickey Virus,0,2013,comedy thriller,manish paul,,unknown,6.1,Mickey Virus comedy thriller manish paul  unknown
Satya 2,0,2013,action crime drama,puneet singh ratn,sharvanand,anaika soti,5.9,Satya 2 action crime drama puneet singh ratn sharvanand anaika soti
Rajjo,0,2013,drama romance,kangana ranaut,prakash raj,mahesh manjrekar,2.8,Rajjo drama romance kangana ranaut prakash raj mahesh manjrekar
Maazii,0,2013,thriller,sumit nijhawan,mona wasu,,6.7,Maazii thriller sumit nijhawan mona wasu 
Sooper Se Ooper,0,2013,comedy,tinnu anand,mahesh balraj,mithilesh chaturvedi,4.3,Sooper Se Ooper comedy tinnu anand mahesh balraj mithilesh chaturvedi
Prague,0,2013,mystery romance thriller,chandan roy sanyal,arfi lamba,kumar mayank,5.9,Prague mystery romance thriller chandan roy sanyal arfi lamba kumar mayank
Wake Up India,0,2013,drama,elisha kriis,asrani,milind gunaji,6.3,Wake Up India drama elisha kriis asrani milind gunaji
Super Model,0,2013,drama mystery romance,ashmit patel,veena malik,sana oberoi,1.9,Super Model drama mystery romance ashmit patel veena malik sana oberoi
Gori Tere Pyaar Mein!,0,2013,comedy drama romance,imran khan,kareena kapoor,nizhalgal ravi,5.0,Gori Tere Pyaar Mein! comedy drama romance imran khan kareena kapoor nizhalgal ravi
What the Fish,0,2013,adventure comedy drama,manu rishi chadha,naresh gosain,dimple kapadia,5.1,What the Fish adventure comedy drama manu rishi chadha naresh gosain dimple kapadia
Jackpot,0,2013,comedy thriller,naseeruddin shah,sunny leone,sachiin joshi,2.0,Jackpot comedy thriller naseeruddin shah sunny leone sachiin joshi
Table No. 21,0,2013,adventure thriller,paresh rawal,rajeev khandelwal,tina desai,7.1,Table No. 21 adventure thriller paresh rawal rajeev khandelwal tina desai
Bullett Raja,0,2013,action crime drama,saif ali khan,jimmy sheirgill,vidyut jammwal,5.0,Bullett Raja action crime drama saif ali khan jimmy sheirgill vidyut jammwal
Dhoom 3,0,2013,action thriller,aamir khan,abhishek bachchan,katrina kaif,5.4,Dhoom 3 action thriller aamir khan abhishek bachchan katrina kaif
Chashme Baddoor,0,2013,comedy drama,ali zafar,siddharth,divyendu sharma,5.4,Chashme Baddoor comedy drama ali zafar siddharth divyendu sharma
Lootera,0,2013,drama romance,ranveer singh,sonakshi sinha,barun chanda,7.3,Lootera drama romance ranveer singh sonakshi sinha barun chanda
War Chod Na Yaar,0,2013,comedy war,sharman joshi,soha ali khan,javed jaffrey,5.5,War Chod Na Yaar comedy war sharman joshi soha ali khan javed jaffrey
Chaalis Chauraasi,0,2012,comedy crime,naseeruddin shah,kay kay menon,atul kulkarni,6.1,Chaalis Chauraasi comedy crime naseeruddin shah kay kay menon atul kulkarni
Ghost,0,2012,horror,shiney ahuja,sayali bhagat,julia bliss,2.2,Ghost horror shiney ahuja sayali bhagat julia bliss
Sadda Adda,0,2012,comedy drama romance,karan sharma,karanvir sharma,shaurya chauhan,7.1,Sadda Adda comedy drama romance karan sharma karanvir sharma shaurya chauhan
Singh Saab the Great,0,2013,action drama,sunny deol,urvashi rautela,prakash raj,5.7,Singh Saab the Great action drama sunny deol urvashi rautela prakash raj
Goliyon Ki Rasleela Ram-Leela,0,2013,drama musical romance,ranveer singh,deepika padukone,supriya pathak,6.4,Goliyon Ki Rasleela Ram-Leela drama musical romance ranveer singh deepika padukone supriya pathak
Agneepath,0,2012,action drama,hrithik roshan,priyanka chopra,sanjay dutt,6.9,Agneepath action drama hrithik roshan priyanka chopra sanjay dutt
Ek Main Aur Ekk Tu,0,2012,comedy drama romance,kareena kapoor,boman irani,imran khan,5.7,Ek Main Aur Ekk Tu comedy drama romance kareena kapoor boman irani imran khan
Ekk Deewana Tha,0,2012,drama romance,prateik,amy jackson,sachin khedekar,5.9,Ekk Deewana Tha drama romance prateik amy jackson sachin khedekar
? A Question Mark,0,2012,horror mystery thriller,kiran bhatia,yaman chatwal,maanvi gagroo,5.5,? A Question Mark horror mystery thriller kiran bhatia yaman chatwal maanvi gagroo
Jodi Breakers,0,2012,comedy musical romance,bipasha basu,helen,pradeep kharab,3.5,Jodi Breakers comedy musical romance bipasha basu helen pradeep kharab
Tere Naal Love Ho Gaya,0,2012,comedy drama romance,riteish deshmukh,genelia d'souza,om puri,5.8,Tere Naal Love Ho Gaya comedy drama romance riteish deshmukh genelia d'souza om puri
Staying Alive,0,2012,drama,jahangir khan,ananth narayan mahadevan,navni parihar,5.7,Staying Alive drama jahangir khan ananth narayan mahadevan navni parihar
Paan Singh Tomar,0,2012,action biography crime,irrfan khan,,unknown,8.2,Paan Singh Tomar action biography crime irrfan khan  unknown
Kahaani,0,2012,mystery thriller,vidya balan,parambrata chattopadhyay,indraneil sengupta,8.1,Kahaani mystery thriller vidya balan parambrata chattopadhyay indraneil sengupta
Zindagi Tere Naam,0,2012,romance,mithun chakraborty,ranjeeta kaur,priyanka mehta,4.7,Zindagi Tere Naam romance mithun chakraborty ranjeeta kaur priyanka mehta
Agent Vinod,0,2012,action adventure thriller,kareena kapoor,saif ali khan,gulshan grover,5.1,Agent Vinod action adventure thriller kareena kapoor saif ali khan gulshan grover
Blood Money,0,2012,action drama thriller,manish chaudhary,kunal khemu,amrita puri,5.1,Blood Money action drama thriller manish chaudhary kunal khemu amrita puri
Bumboo,0,2012,comedy,kavin dave,sharat saxena,sanjay mishra,7.2,Bumboo comedy kavin dave sharat saxena sanjay mishra
Valentine's Night,0,2012,romance thriller,shikhi gupta,sunny hinduja,prabhat kumar,2.7,Valentine's Night romance thriller shikhi gupta sunny hinduja prabhat kumar
Married 2 America,0,2012,thriller,archana joglekar,akhilendra mishra,chetan pandit,4.3,Married 2 America thriller archana joglekar akhilendra mishra chetan pandit
Chaar Din Ki Chandni,0,2012,comedy romance,tusshar kapoor,kulraj randhawa,anupam kher,4.1,Chaar Din Ki Chandni comedy romance tusshar kapoor kulraj randhawa anupam kher
Bittoo Boss,0,2012,romance,pulkit samrat,,unknown,4.1,Bittoo Boss romance pulkit samrat  unknown
Vicky Donor,0,2012,comedy romance,ayushmann khurrana,yami gautam,annu kapoor,7.8,Vicky Donor comedy romance ayushmann khurrana yami gautam annu kapoor
Hate Story,0,2012,drama thriller,nikhil dwivedi,gulshan devaiah,paoli dam,5.3,Hate Story drama thriller nikhil dwivedi gulshan devaiah paoli dam
Tezz,0,2012,action crime drama,anil kapoor,ajay devgn,mohanlal,3.9,Tezz action crime drama anil kapoor ajay devgn mohanlal
Dangerous Ishq,0,2012,fantasy mystery romance,karisma kapoor,rajniesh duggall,divya dutta,3.9,Dangerous Ishq fantasy mystery romance karisma kapoor rajniesh duggall divya dutta
Ishaqzaade,0,2012,action drama romance,arjun kapoor,parineeti chopra,gauhar khan,6.5,Ishaqzaade action drama romance arjun kapoor parineeti chopra gauhar khan
Department,0,2012,action crime thriller,sanjay dutt,rana daggubati,lakshmi manchu,3.2,Department action crime thriller sanjay dutt rana daggubati lakshmi manchu
Fatso!,0,2012,comedy fantasy romance,gul panag,purab kohli,ranvir shorey,5.7,Fatso! comedy fantasy romance gul panag purab kohli ranvir shorey
Arjun The Warrior Prince,0,2012,action adventure animation,yudhveer bakoliya,ashok banthia,ravi khanvilkar,6.8,Arjun The Warrior Prince action adventure animation yudhveer bakoliya ashok banthia ravi khanvilkar
Life Ki Toh Lag Gayi,0,2012,comedy,kay kay menon,ranvir shorey,pradhuman singh,5.5,Life Ki Toh Lag Gayi comedy kay kay menon ranvir shorey pradhuman singh
Shanghai,0,2012,crime mystery thriller,emraan hashmi,abhay deol,prasenjit chatterjee,7.2,Shanghai crime mystery thriller emraan hashmi abhay deol prasenjit chatterjee
Ferrari Ki Sawaari,0,2012,comedy drama family,sharman joshi,boman irani,ritvik sahore,6.4,Ferrari Ki Sawaari comedy drama family sharman joshi boman irani ritvik sahore
Teri Meri Kahaani,0,2012,comedy drama romance,shahid kapoor,priyanka chopra,prachi desai,4.7,Teri Meri Kahaani comedy drama romance shahid kapoor priyanka chopra prachi desai
Mr Bhatti on Chutti,0,2012,comedy,anupam kher,bhairavi goswami,amaan irees,4.0,Mr Bhatti on Chutti comedy anupam kher bhairavi goswami amaan irees
Yeh Khula Aasmaan,0,2012,family,anya anand,manjusha godse,nitin kerur,6.9,Yeh Khula Aasmaan family anya anand manjusha godse nitin kerur
Rakhtbeej,0,2012,thriller,julia datt,,unknown,3.1,Rakhtbeej thriller julia datt  unknown
Gangs of Wasseypur,0,2012,action comedy crime,manoj bajpayee,richa chadha,nawazuddin siddiqui,8.2,Gangs of Wasseypur action comedy crime manoj bajpayee richa chadha nawazuddin siddiqui
Gangs of Wasseypur,0,2012,action comedy crime,manoj bajpayee,richa chadha,nawazuddin siddiqui,8.2,Gangs of Wasseypur action comedy crime manoj bajpayee richa chadha nawazuddin siddiqui
Gangs of Wasseypur,0,2012,action comedy crime,manoj bajpayee,richa chadha,nawazuddin siddiqui,8.2,Gangs of Wasseypur action comedy crime manoj bajpayee richa chadha nawazuddin siddiqui
Gangs of Wasseypur,0,2012,action comedy crime,manoj bajpayee,richa chadha,nawazuddin siddiqui,8.2,Gangs of Wasseypur action comedy crime manoj bajpayee richa chadha nawazuddin siddiqui
Gangs of Wasseypur,0,2012,action comedy crime,manoj bajpayee,richa chadha,nawazuddin siddiqui,8.2,Gangs of Wasseypur action comedy crime manoj bajpayee richa chadha nawazuddin siddiqui
Gangs of Wasseypur,0,2012,action comedy crime,manoj bajpayee,richa chadha,nawazuddin siddiqui,8.2,Gangs of Wasseypur action comedy crime manoj bajpayee richa chadha nawazuddin siddiqui
Gangs of Wasseypur,0,2012,action comedy crime,manoj bajpayee,richa chadha,nawazuddin siddiqui,8.2,Gangs of Wasseypur action comedy crime manoj bajpayee richa chadha nawazuddin siddiqui
Gangs of Wasseypur,0,2012,action comedy crime,manoj bajpayee,richa chadha,nawazuddin siddiqui,8.2,Gangs of Wasseypur action comedy crime manoj bajpayee richa chadha nawazuddin siddiqui
Cocktail,0,2012,comedy drama romance,saif ali khan,deepika padukone,diana penty,6.3,Cocktail comedy drama romance saif ali khan deepika padukone diana penty
Gattu,0,2011,drama,naresh sharma,mohammad samad,jayanta das,7.3,Gattu drama naresh sharma mohammad samad jayanta das
Kyaa Super Kool Hain Hum,0,2012,comedy,riteish deshmukh,neha sharma,tusshar kapoor,5.0,Kyaa Super Kool Hain Hum comedy riteish deshmukh neha sharma tusshar kapoor
Maximum,0,2012,action crime drama,sonu sood,naseeruddin shah,neha dhupia,4.9,Maximum action crime drama sonu sood naseeruddin shah neha dhupia
5 Ghantey Mien 5 Crore,0,2012,thriller,nassar abdulla,shawar ali,rashid khan,5.2,5 Ghantey Mien 5 Crore thriller nassar abdulla shawar ali rashid khan
Ek Tha Tiger,0,2012,action romance thriller,salman khan,katrina kaif,girish karnad,5.5,Ek Tha Tiger action romance thriller salman khan katrina kaif girish karnad
Challo Driver,0,2012,comedy,vickrant mahajan,kainaz motivala,prem chopra,6.0,Challo Driver comedy vickrant mahajan kainaz motivala prem chopra
Shirin Farhad Ki Toh Nikal Padi,0,2012,romance,freny bhagat,dinyar contractor,nauheed cyrusi,4.2,Shirin Farhad Ki Toh Nikal Padi romance freny bhagat dinyar contractor nauheed cyrusi
Joker,0,2012,comedy family sci-fi,akshay kumar,sonakshi sinha,shreyas talpade,2.4,Joker comedy family sci-fi akshay kumar sonakshi sinha shreyas talpade
Aalaap,0,2012,sci-fi,omkar das manikpuri,pitobash,amit purohit,5.8,Aalaap sci-fi omkar das manikpuri pitobash amit purohit
Mere Dost Picture Abhi Baaki Hai,0,2012,comedy,sunil shetty,udita goswami,rajpal yadav,3.5,Mere Dost Picture Abhi Baaki Hai comedy sunil shetty udita goswami rajpal yadav
Krishna Aur Kans,0,2012,action adventure animation,manoj bajpayee,harish bhimani,neetu chaudhary,6.3,Krishna Aur Kans action adventure animation manoj bajpayee harish bhimani neetu chaudhary
From Sydney with Love,0,2012,comedy romance,bidita bag,sabyasachi chakrabarty,ronjini chakraborty,6.2,From Sydney with Love comedy romance bidita bag sabyasachi chakrabarty ronjini chakraborty
Jalpari The Desert Mermaid,0,2012,drama family mystery,harish chabbra,tannishtha chatterjee,parvin dabas,7.2,Jalpari The Desert Mermaid drama family mystery harish chabbra tannishtha chatterjee parvin dabas
Barfi!,0,2012,comedy drama romance,ranbir kapoor,priyanka chopra,ileana d'cruz,8.1,Barfi! comedy drama romance ranbir kapoor priyanka chopra ileana d'cruz
Heroine,0,2012,drama,kareena kapoor,arjun rampal,randeep hooda,5.1,Heroine drama kareena kapoor arjun rampal randeep hooda
Chal Pichchur Banate Hain,0,2012,comedy drama,sagar bhangade,mukesh bhatt,vipul bhatt,6.3,Chal Pichchur Banate Hain comedy drama sagar bhangade mukesh bhatt vipul bhatt
Kismet Love Paisa Dilli,0,2012,adventure comedy crime,vivek oberoi,mallika sherawat,neha dhupia,4.2,Kismet Love Paisa Dilli adventure comedy crime vivek oberoi mallika sherawat neha dhupia
Jeena Hai Toh Thok Daal,0,2012,drama,ravi kishan,manish vatssalya,yashpal sharma,6.0,Jeena Hai Toh Thok Daal drama ravi kishan manish vatssalya yashpal sharma
OMG Oh My God!,0,2012,comedy drama fantasy,paresh rawal,akshay kumar,mithun chakraborty,8.2,OMG Oh My God! comedy drama fantasy paresh rawal akshay kumar mithun chakraborty
Aiyyaa,0,2012,comedy romance,rani mukerji,prithviraj sukumaran,nirmiti sawant,4.3,Aiyyaa comedy romance rani mukerji prithviraj sukumaran nirmiti sawant
Chittagong,0,2012,action drama war,manoj bajpayee,barry john,delzad hiwale,7.2,Chittagong action drama war manoj bajpayee barry john delzad hiwale
