movie_name,is_adult,year_of_release,genres,actor_1,actor_2,actor_3,imdb_rating,comb
Ek Ajnabee,0,2005,action crime drama,amitabh bachchan,arjun rampal,perizaad zorabian,5.2,Ek Ajnabee action crime drama amitabh bachchan arjun rampal perizaad zorabian
Fun Can Be Dangerous Sometimes,0,2005,thriller,siddharth koirala,aryan vaid,payal rohatgi,3.3,Fun Can Be Dangerous Sometimes thriller siddharth koirala aryan vaid payal rohatgi
Ek Khiladi Ek Haseena,0,2005,comedy crime thriller,fardeen khan,koena mitra,kay kay menon,5.8,Ek Khiladi Ek Haseena comedy crime thriller fardeen khan koena mitra kay kay menon
Double Cross Ek Dhoka,0,2005,comedy,ayesha jhulka,negar khan,,4.1,Double Cross Ek Dhoka comedy ayesha jhulka negar khan 
Dreams,0,2006,drama,aseel adel,bashir al majid,mohamed hashim,6.8,Dreams drama aseel adel bashir al majid mohamed hashim
Home Delivery Aapko... Ghar Tak,0,2005,comedy romance,vivek oberoi,mahima chaudhry,ayesha takia,3.2,Home Delivery Aapko... Ghar Tak comedy romance vivek oberoi mahima chaudhry ayesha takia
Garam Masala,0,2005,comedy romance,akshay kumar,john abraham,paresh rawal,6.7,Garam Masala comedy romance akshay kumar john abraham paresh rawal
Iqbal,0,2005,drama sport,shreyas talpade,naseeruddin shah,shweta basu prasad,8.1,Iqbal drama sport shreyas talpade naseeruddin shah shweta basu prasad
Jai Chiranjeeva,0,2005,action comedy drama,chiranjeevi,bhoomika chawla,sameera reddy,5.8,Jai Chiranjeeva action comedy drama chiranjeevi bhoomika chawla sameera reddy
Hazaaron Khwaishein Aisi,0,2003,drama,kay kay menon,shiney ahuja,chitrangda singh,7.9,Hazaaron Khwaishein Aisi drama kay kay menon shiney ahuja chitrangda singh
Insan,0,2005,action crime drama,akshay kumar,ajay devgn,tusshar kapoor,4.6,Insan action crime drama akshay kumar ajay devgn tusshar kapoor
Jo Bole So Nihaal,0,2005,action comedy,sunny deol,thomas tevana,gary castro churchwell,3.5,Jo Bole So Nihaal action comedy sunny deol thomas tevana gary castro churchwell
Karam,0,2005,action thriller,john abraham,priyanka chopra,bharat dabholkar,5.5,Karam action thriller john abraham priyanka chopra bharat dabholkar
Kaal,0,2005,adventure horror mystery,ajay devgn,vivek oberoi,john abraham,4.6,Kaal adventure horror mystery ajay devgn vivek oberoi john abraham
Kalyug,0,2005,action crime drama,kunal khemu,deepal shaw,smiley suri,6.5,Kalyug action crime drama kunal khemu deepal shaw smiley suri
Kasak,0,2005,drama,lucky ali,meera,puneet issar,4.6,Kasak drama lucky ali meera puneet issar
Hanuman,0,2005,animation,mukesh khanna,viraj,mona shetty,7.3,Hanuman animation mukesh khanna viraj mona shetty
James,0,2005,action romance,mohit ahlawat,priyanka kothari,,3.6,James action romance mohit ahlawat priyanka kothari 
Kisna The Warrior Poet,0,2005,drama history musical,vivek oberoi,isha sharvani,antonia bernath,4.5,Kisna The Warrior Poet drama history musical vivek oberoi isha sharvani antonia bernath
Koi Aap Sa But Lovers Have to Be Friends,0,2005,comedy drama romance,aftab shivdasani,anita hassanandani reddy,dipannita sharma,5.4,Koi Aap Sa But Lovers Have to Be Friends comedy drama romance aftab shivdasani anita hassanandani reddy dipannita sharma
Khamoshh... Khauff Ki Raat,0,2005,mystery thriller,shilpa shetty kundra,juhi chawla,shawar ali,3.3,Khamoshh... Khauff Ki Raat mystery thriller shilpa shetty kundra juhi chawla shawar ali
Jurm,0,2005,crime drama mystery,kamal adib,bobby deol,lara dutta,5.5,Jurm crime drama mystery kamal adib bobby deol lara dutta
Kuchh Meetha Ho Jaye,0,2005,comedy romance,arshad warsi,mahima chaudhry,parvin dabas,3.4,Kuchh Meetha Ho Jaye comedy romance arshad warsi mahima chaudhry parvin dabas
Kyaa Kool Hai Hum,0,2005,comedy mystery,tusshar kapoor,riteish deshmukh,isha koppikar,6.1,Kyaa Kool Hai Hum comedy mystery tusshar kapoor riteish deshmukh isha koppikar
Lucky No Time for Love,0,2005,drama musical romance,salman khan,sneha ullal,mithun chakraborty,4.7,Lucky No Time for Love drama musical romance salman khan sneha ullal mithun chakraborty
